Genes,adjpval,log2FC,color
PABPN1,0.382755507522563,-0.1302585857730643,grey
PABPC1,0.376085777617825,0.1911125540642472,grey
PAAF1,0.993638646491437,0.0110071854571323,grey
PCNA,0.181998488133324,0.2477073039680992,grey
PCSK1,0.591549538907668,0.0883107466537891,grey
PCSK1N,0.0842401863868559,0.3111450006428065,grey
PCYOX1,0.098165678728573,-0.3393624301918287,grey
PGM3,0.110532561871423,0.2252302653486935,grey
PGM2L1,0.991056344415386,0.0220298161071288,grey
PGLS,0.0456154517913391,0.3549418043287415,grey
PGD,0.0311632655800602,0.3504123154950894,grey
PGAM5,0.0042024990853103,0.5611171244561814,grey
PFN2,0.0164375367155399,0.4021429886508953,grey
PFN1,0.0914608292593858,0.1910607626386314,grey
PFKP,0.640282166719908,-0.0757434978143736,grey
PFKM,0.0093078339017106,-0.6114769736884149,grey
PFKL,0.0121636857209128,-0.37710018416388,grey
PFKFB3,0.40039379513868,0.0835818445523295,grey
PFDN6,0.27144234521106,0.2716433126556032,grey
PFDN2,0.707117218745366,0.057056764073135,grey
PFDN1,0.776470658669815,0.0099194583656765,grey
PET100,0.374636518052028,-0.1208130423359398,grey
PELO,0.068365427795185,0.2506736812712603,grey
PEG10,0.0195769060547728,0.7003180597561791,grey
PDP1,0.058411487833819,-0.3406457722600252,grey
PDK3,0.110083382109846,-0.2340820343591008,grey
PDK1,0.0353941982855513,-0.4575632818480015,grey
PDIA6,0.599918302630547,-0.0544165151353504,grey
PDIA3,0.0159992420039109,-0.3138824340305404,grey
PDHX,0.206399288423547,0.1842568906964423,grey
PDHB,0.206335271578744,-0.1419218618711897,grey
PDHA1,0.0980883066377911,-0.2174145708408554,grey
PDCD10,0.319826329941074,0.0801830331723354,grey
PCYOX1L,0.0370397030616595,-0.4708050576018798,grey
PA2G4,0.688042237133712,-0.0984118410246363,grey
P2RX3,0.0027959359545103,-0.941738751783997,grey
NME1,0.0839434353558565,0.2413921225933084,grey
NRAS,0.0142870961469633,-0.6359158665221156,grey
NUBP1,0.258800282450735,0.1769883260995753,grey
NTPCR,0.0253630203090407,0.3263203822837279,grey
NTMT1,0.132840157696831,-0.3056041304438565,grey
NTHL1,0.166743592403235,-0.1839077848332556,grey
NT5DC2,0.492376047386297,-0.0866578887921253,grey
NSUN5,0.8767211721763,0.032193144027139,grey
NSUN4,0.956300368717389,0.0840332585989241,grey
NSUN2,0.0338533942148103,0.2415654326701824,grey
NSF,0.87482757126221,-0.0279634061484944,grey
NSDHL,0.753577645666674,0.0507322705145433,grey
NSD3,0.64551333255624,0.3080409448748237,grey
NRXN2,0.0060778414552779,-0.4977929998098462,grey
NRXN1,0.0642571295276198,-0.2810068598775734,grey
NR2C2,0.89726063363228,-0.029497661285452,grey
OXSR1,0.674492349418852,0.0256524793193011,grey
NPM3,0.869109406770662,-0.0126304227500772,grey
NPM1,0.03325400424606,-0.2967682566616124,grey
NOVA2,0.407921029910009,-0.1161057705053798,grey
NOVA1,0.0312002636603674,-0.349210080206884,grey
NOP58,0.0772692430838863,-0.4873413886580738,grey
NOP56,0.0400305882291646,-0.2422836815163476,grey
NOP10,0.014689672988027,-0.3623351561813829,grey
NONO,0.297550005468406,-0.098903123387352,grey
NOLC1,0.0356294105727011,-0.4550896365043776,grey
NOL12,0.0270760093057463,-0.2997112447608246,grey
NNT,0.0362151827665779,0.3712650675636606,grey
NMT1,0.484496216924673,-0.0601199060810722,grey
NME3,0.179425516621071,0.3737611207857203,grey
NUBP2,0.165469164976859,0.2123802257943542,grey
NUBPL,0.0679880296761307,-0.2863248488407043,grey
NUCKS1,0.610642425151615,-0.1451749983982364,grey
NUDC,0.183652379141425,0.1193899603944617,grey
OXNAD1,0.0900745931656823,-0.3361827567677495,grey
OXA1L,0.025647633435911,0.3459847917801216,grey
OTULIN,0.0586738473280748,0.3090169585687535,grey
OTUD6B,0.775359555337321,-0.0829372997015955,grey
OTUB1,0.258891587652022,0.0960057171917768,grey
OSGEPL1,0.98262694159157,0.011637884187361,grey
OSBPL8,0.0228330629095915,-0.337792189188685,grey
OPA1,0.495896027650131,-0.0286447987969093,grey
ONECUT2,0.003049226070774,-0.8346702659187073,grey
OLA1,0.886451610586532,-0.0070574219619321,grey
OGDH,0.962698502124344,0.0167175679433118,grey
OGA,0.367422653211145,0.1362551345908683,grey
OCRL,0.0144103559494683,0.4691686648846291,grey
OCIAD1,0.0972528050139797,-0.1553977147284505,grey
OAT,0.846200150045214,-0.006041775896557,grey
OARD1,0.13515971675645,-0.2788768973303947,grey
NXPH4,0.0008678033201834,-1.241046211055031,grey
NXN,0.265895076388094,0.1279167288753961,grey
NUTF2,0.649177069616798,0.0220386016764038,grey
NUP98,0.572466503115389,-0.1617249765903392,grey
NUP93,0.622176020911542,0.0532461765174463,grey
NUP35,0.701748186329909,0.0009389280738448,grey
NUP214,0.257189421639545,-0.0995693630210296,grey
NUMA1,0.290322488573793,0.2255576957582387,grey
NUFIP2,0.472780462449991,-0.1363716259689361,grey
NUDT21,0.316224024165073,-0.1010945388255578,grey
NUDT11,0.0366827670074454,-0.4625710801496523,grey
RIOK3,0.245875990846992,0.0998145446985055,grey
RND2,0.8767211721763,-0.0122697735080964,grey
MRPL54,0.495977692684686,-0.0829988275576518,grey
TKT,0.95074167841233,-0.0165658669425558,grey
TMSB10,0.183652379141425,0.8570602395440826,grey
TMPO,0.0052502479484459,-0.5321824177821286,grey
TMOD2,0.40006976442983,0.1732050269433387,grey
TMLHE,0.532329263263277,0.1025269551744664,grey
TMEM33,0.64551333255624,0.0733600101657593,grey
TMEM30A,0.0642804890908885,0.5158941405331443,grey
